10,10
[floor1]
T1,0,D2,0,-1,UP,UP,0,0,0
0,0,-1,0,-1,0,-1,-1,0,0
0,-1,-1,0,0,0,0,0,0,A1
D1,0,0,0,0,0,0,0,-1,0
-1,-1,-1,-1,-1,-1,-1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,-1,-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,-1,0,-1,0
-1,-1,-1,-1,-1,0,0,-1,0,0
K3,0,0,0,0,0,0,0,0,0
[floor2]
0,0,0,DO,DO,0,0,0,0,0
0,0,0,0,0,-1,-1,-1,-1,0
0,0,-1,-1,-1,-1,0,0,0,0
D3,-1,-1,0,0,0,0,-1,-1,-1
K1,-1,0,0,-1,-1,-1,0,0,0
-1,-1,0,-1,0,0,0,0,-1,0
0,0,0,-1,0,-1,-1,-1,-1,0
0,-1,-1,-1,0,0,0,K2,-1,0
0,-1,0,-1,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,0,0,0,0
